Country,City,Year,Avg Temp,Riyadh MA,,Avg Temp,Global MA,,,
Saudi Arabia,Riyadh,1843,24.74,,,8.17,,,,
Saudi Arabia,Riyadh,1844,15.45,,,7.65,,,,
Saudi Arabia,Riyadh,1845,20.82,20.33666667,,7.85,7.89,,,
Saudi Arabia,Riyadh,1846,22.06666667,19.44555556,,8.55,8.016666667,,,
Saudi Arabia,Riyadh,1847,23.31333333,22.06666667,,8.09,8.163333333,,,
Saudi Arabia,Riyadh,1848,24.56,23.31333333,,7.98,8.206666667,,,
Saudi Arabia,Riyadh,1849,24.8,24.22444444,,7.98,8.016666667,,,
Saudi Arabia,Riyadh,1850,24.34,24.56666667,,7.9,7.953333333,,,
Saudi Arabia,Riyadh,1851,25.03,24.72333333,,8.18,8.02,,,
Saudi Arabia,Riyadh,1852,24.85,24.74,,8.1,8.06,,,
Saudi Arabia,Riyadh,1853,24.93,24.93666667,,8.04,8.106666667,,,
Saudi Arabia,Riyadh,1854,24.72,24.83333333,,8.21,8.116666667,,,
Saudi Arabia,Riyadh,1855,24.92,24.85666667,,8.11,8.12,,,
Saudi Arabia,Riyadh,1856,24.57,24.73666667,,8,8.106666667,,,
Saudi Arabia,Riyadh,1857,24.26,24.58333333,,7.76,7.956666667,,,
Saudi Arabia,Riyadh,1858,25.01,24.61333333,,8.1,7.953333333,,,
Saudi Arabia,Riyadh,1859,24.95,24.74,,8.25,8.036666667,,,
Saudi Arabia,Riyadh,1860,24.94,24.96666667,,7.96,8.103333333,,,
Saudi Arabia,Riyadh,1861,24.13,24.67333333,,7.85,8.02,,,
Saudi Arabia,Riyadh,1862,23.77,24.28,,7.56,7.79,,,
Saudi Arabia,Riyadh,1863,24.28,24.06,,8.11,7.84,,,
Saudi Arabia,Riyadh,1864,25.03,24.36,,7.98,7.883333333,,,
Saudi Arabia,Riyadh,1865,25.23,24.84666667,,8.18,8.09,,,
Saudi Arabia,Riyadh,1866,24.92,25.06,,8.29,8.15,,,
Saudi Arabia,Riyadh,1867,25.22,25.12333333,,8.44,8.303333333,,,
Saudi Arabia,Riyadh,1868,25,25.04666667,,8.25,8.326666667,,,˜˜˜
Saudi Arabia,Riyadh,1869,25.3,25.17333333,,8.43,8.373333333,,,
Saudi Arabia,Riyadh,1870,25.02,25.10666667,,8.2,8.293333333,,,
Saudi Arabia,Riyadh,1871,24.73,25.01666667,,8.12,8.25,,,
Saudi Arabia,Riyadh,1872,24.87,24.87333333,,8.19,8.17,,,
Saudi Arabia,Riyadh,1873,25.24,24.94666667,,8.35,8.22,,,
Saudi Arabia,Riyadh,1874,24.98,25.03,,8.43,8.323333333,,,
Saudi Arabia,Riyadh,1875,24.43,24.88333333,,7.86,8.213333333,,,
Saudi Arabia,Riyadh,1876,24.89,24.76666667,,8.08,8.123333333,,,
Saudi Arabia,Riyadh,1877,25.47,24.93,,8.54,8.16,,,
Saudi Arabia,Riyadh,1878,25.51,25.29,,8.83,8.483333333,,,
Saudi Arabia,Riyadh,1879,25.24,25.40666667,,8.17,8.513333333,,,
Saudi Arabia,Riyadh,1880,24.8,25.18333333,,8.12,8.373333333,,,
Saudi Arabia,Riyadh,1881,25.63,25.22333333,,8.27,8.186666667,,,
Saudi Arabia,Riyadh,1882,24.66,25.03,,8.13,8.173333333,,,
Saudi Arabia,Riyadh,1883,25.19,25.16,,7.98,8.126666667,,,
Saudi Arabia,Riyadh,1884,24.8,24.88333333,,7.77,7.96,,,
Saudi Arabia,Riyadh,1885,24.98,24.99,,7.92,7.89,,,
Saudi Arabia,Riyadh,1886,24.98,24.92,,7.95,7.88,,,
Saudi Arabia,Riyadh,1887,24.81,24.92333333,,7.91,7.926666667,,,
Saudi Arabia,Riyadh,1888,25.13,24.97333333,,8.09,7.983333333,,,
Saudi Arabia,Riyadh,1889,25.52,25.15333333,,8.32,8.106666667,,,
Saudi Arabia,Riyadh,1890,25.07,25.24,,7.97,8.126666667,,,
Saudi Arabia,Riyadh,1891,25.39,25.32666667,,8.02,8.103333333,,,
Saudi Arabia,Riyadh,1892,25.22,25.22666667,,8.07,8.02,,,
Saudi Arabia,Riyadh,1893,25.19,25.26666667,,8.06,8.05,,,
Saudi Arabia,Riyadh,1894,24.66,25.02333333,,8.16,8.096666667,,,
Saudi Arabia,Riyadh,1895,24.69,24.84666667,,8.15,8.123333333,,,
Saudi Arabia,Riyadh,1896,24.88,24.74333333,,8.21,8.173333333,,,
Saudi Arabia,Riyadh,1897,24.86,24.81,,8.29,8.216666667,,,
Saudi Arabia,Riyadh,1898,24.88,24.87333333,,8.18,8.226666667,,,
Saudi Arabia,Riyadh,1899,25.12,24.95333333,,8.4,8.29,,,
Saudi Arabia,Riyadh,1900,25.29,25.09666667,,8.5,8.36,,,
Saudi Arabia,Riyadh,1901,25.55,25.32,,8.54,8.48,,,
Saudi Arabia,Riyadh,1902,25.25,25.36333333,,8.3,8.446666667,,,
Saudi Arabia,Riyadh,1903,24.64,25.14666667,,8.22,8.353333333,,,
Saudi Arabia,Riyadh,1904,25.07,24.98666667,,8.09,8.203333333,,,
Saudi Arabia,Riyadh,1905,24.87,24.86,,8.23,8.18,,,
Saudi Arabia,Riyadh,1906,24.85,24.93,,8.38,8.233333333,,,
Saudi Arabia,Riyadh,1907,24.44,24.72,,7.95,8.186666667,,,
Saudi Arabia,Riyadh,1908,24.95,24.74666667,,8.19,8.173333333,,,
Saudi Arabia,Riyadh,1909,25.57,24.98666667,,8.18,8.106666667,,,
Saudi Arabia,Riyadh,1910,24.75,25.09,,8.22,8.196666667,,,
Saudi Arabia,Riyadh,1911,24.24,24.85333333,,8.18,8.193333333,,,
Saudi Arabia,Riyadh,1912,24.96,24.65,,8.17,8.19,,,
Saudi Arabia,Riyadh,1913,24.63,24.61,,8.3,8.216666667,,,
Saudi Arabia,Riyadh,1914,24.94,24.84333333,,8.59,8.353333333,,,
Saudi Arabia,Riyadh,1915,25.38,24.98333333,,8.59,8.493333333,,,
Saudi Arabia,Riyadh,1916,24.85,25.05666667,,8.23,8.47,,,
Saudi Arabia,Riyadh,1917,25.03,25.08666667,,8.02,8.28,,,
Saudi Arabia,Riyadh,1918,24.66,24.84666667,,8.13,8.126666667,,,
Saudi Arabia,Riyadh,1919,25.39,25.02666667,,8.38,8.176666667,,,
Saudi Arabia,Riyadh,1920,24.94,24.99666667,,8.36,8.29,,,
Saudi Arabia,Riyadh,1921,24.84,25.05666667,,8.57,8.436666667,,,
Saudi Arabia,Riyadh,1922,25.35,25.04333333,,8.41,8.446666667,,,
Saudi Arabia,Riyadh,1923,25.1,25.09666667,,8.42,8.466666667,,,
Saudi Arabia,Riyadh,1924,25.69,25.38,,8.51,8.446666667,,,
Saudi Arabia,Riyadh,1925,25,25.26333333,,8.53,8.486666667,,,
Saudi Arabia,Riyadh,1926,25.19,25.29333333,,8.73,8.59,,,
Saudi Arabia,Riyadh,1927,25.29,25.16,,8.52,8.593333333,,,
Saudi Arabia,Riyadh,1928,25.39,25.29,,8.63,8.626666667,,,
Saudi Arabia,Riyadh,1929,25.36,25.34666667,,8.24,8.463333333,,,
Saudi Arabia,Riyadh,1930,25.39,25.38,,8.63,8.5,,,
Saudi Arabia,Riyadh,1931,25.38,25.37666667,,8.72,8.53,,,
Saudi Arabia,Riyadh,1932,24.96,25.24333333,,8.71,8.686666667,,,
Saudi Arabia,Riyadh,1933,24.67,25.00333333,,8.34,8.59,,,
Saudi Arabia,Riyadh,1934,24.97,24.86666667,,8.63,8.56,,,
Saudi Arabia,Riyadh,1935,25.61,25.08333333,,8.52,8.496666667,,,
Saudi Arabia,Riyadh,1936,25.15,25.24333333,,8.55,8.566666667,,,
Saudi Arabia,Riyadh,1937,25.08,25.28,,8.7,8.59,,,
Saudi Arabia,Riyadh,1938,25.11,25.11333333,,8.86,8.703333333,,,
Saudi Arabia,Riyadh,1939,25.16,25.11666667,,8.76,8.773333333,,,
Saudi Arabia,Riyadh,1940,25.51,25.26,,8.76,8.793333333,,,
Saudi Arabia,Riyadh,1941,25.37,25.34666667,,8.77,8.763333333,,,
Saudi Arabia,Riyadh,1942,25.49,25.45666667,,8.73,8.753333333,,,
